"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2109","@smoke Login page title test","chromium","2026-07-11","passed","2026-07-11","","loginpagefixture.spec.ts","",""
"","3036","@smoke Home page title test","chromium","2026-07-11","passed","2026-07-11","","homepagefixture.spec.ts","",""
"","2436","@smoke footer exist on product page","chromium","2026-07-11","passed","2026-07-11","","productpage.spec.ts","",""
